date,Line1,Line2,Line4,Line5,Line6,Line7,Line8,Line9,Line10,Line11,Line13,Line14,Line15,Line16,Line17,Line19,LineFS,LineCP,LineYZ,LineYF,LineS1,LineT1,LineXJ,LineSD,LineDX
2023/3/4,65.33,42.91,78.83,54.31,61.58,38.28,54.55,25.04,97.47,0.16,30.28,51.55,24.91,14.48,4.31,8.48,15.87,23.2,13.37,1.89,2.92,0.17,2.91,1.02,1.92
2023/3/5,55.28,37.53,70.63,46.98,52.89,34.5,43.4,23.9,84.53,0.12,26.88,46.87,21.59,12.83,3.83,7.7,14.68,20.14,12,2.06,2.57,0.16,2.09,1.15,2.33
2023/3/6,91.91,68.5,94.55,81.28,93.75,51.02,53.43,42.6,153.62,0.11,52.79,77.31,38.42,22.45,6.02,14.15,25.05,34.11,21.12,2.61,4.82,0.24,1.37,1.17,2.27
2023/3/7,95.21,67.63,93.3,81.76,94.14,50.57,54.85,41.76,153.43,0.11,51.87,76.54,38.5,22.13,5.93,14.02,24.77,34.06,20.73,2.48,4.78,0.23,1.41,1.09,2.05
2023/3/8,98.72,69.34,99.61,83.96,98.04,52.43,58.99,42.24,158.3,0.12,53.39,80.32,39.9,23.07,6.01,14.21,25.56,35.41,21.37,2.56,4.86,0.24,1.7,1.22,2.21
2023/3/9,92.72,66.44,92.47,79.78,92.89,49.54,54.14,40.88,151.51,0.1,51.26,75.6,38.04,21.87,5.83,13.78,24.55,33.92,20.51,2.49,4.77,0.23,1.43,1.19,2.2
2023/3/10,98.2,72.37,103.74,84.26,97.79,53.97,57.42,45.31,161.11,0.1,55.9,82.1,40.49,23.66,6.04,14.73,25.91,36.82,21.64,3.02,4.88,0.24,1.56,1.47,2.81
2023/3/11,59.86,38.86,72.81,49.49,56.63,35.47,44.83,23.71,89.4,0.11,27.89,48.17,22.07,13.64,4.08,7.83,14.68,21.45,12.46,1.79,2.7,0.15,2.39,0.95,1.83
2023/3/12,54.55,36,68.97,45.09,52.07,33.23,40.59,23.7,81.64,0.1,26.25,45.53,20.42,12.8,3.71,7.26,14.19,19.48,11.63,1.99,2.47,0.17,2.37,1.1,2.28
2023/3/13,92.59,70.11,95.87,82.38,93.68,51.74,53.72,43.66,136.7,0.1,53.22,78.55,38.44,22.94,5.99,14.36,24.71,33.79,20.87,2.56,4.84,0.23,1.37,1.18,2.28
2023/3/14,94.47,67.75,94.14,81.51,93.93,50.79,54.98,41.88,152.74,0.1,52.19,76.56,38.48,22.43,5.92,13.92,24.58,34.37,20.62,2.43,4.82,0.23,1.5,1.13,2.13
2023/3/15,94.74,68.17,95.12,81.53,94.13,50.89,55.92,42.11,154,0.1,52.7,77.45,38.94,22.47,5.85,14.16,24.75,34.97,20.61,2.48,4.81,0.23,1.52,1.23,2.43
2023/3/16,95.69,68.86,96.3,82,94.51,51.51,56.47,42.24,154.51,0.1,52.98,77.73,38.78,22.59,5.96,14.25,24.76,34.87,20.66,2.45,4.83,0.23,1.61,1.29,2.44
2023/3/17,101.36,74.55,107.48,85.57,99.38,55.85,60.76,46.59,165.39,0.1,57.11,84.28,41.24,24.39,6.15,15.2,26.35,37.73,21.87,3.06,5.47,0.24,1.51,1.61,3.25
2023/3/18,71.36,45.85,88.57,56.69,67.76,40.72,60.28,26.74,106.27,0.15,32.09,53.96,25.21,20.75,4.37,8.99,16.54,25.12,13.73,1.94,3.8,0.19,5.16,1.13,2.23
2023/3/19,61.94,40.59,77.96,49.3,56.88,36.75,47.81,25.25,91.3,0.12,28.82,49.71,24.9,17.4,3.92,8.15,15.17,21.93,12.54,2.07,3.12,0.2,3.52,1.35,2.78
2023/3/20,94.95,69.79,97.13,82.82,96.55,52.63,55.89,42.45,157.72,0.1,53.54,79.17,41.32,24.96,6.16,14.58,25.39,34.83,21.2,2.62,4.98,0.23,1.57,1.39,2.74
2023/3/21,97.28,69.26,95.84,83,97.25,51.99,57.67,41.42,156.9,0.11,52.7,78.31,40.27,24.91,6.02,14.49,25.02,35,21,2.49,4.95,0.22,1.61,1.3,2.33
2023/3/22,95.91,69.52,94.89,82.99,95.71,51.03,56.62,41.38,143.88,0.12,52.58,77.77,38.94,24.68,5.88,14.29,24.34,34.6,20.48,2.45,4.85,0.22,1.28,1.4,2.64
2023/3/23,97.26,69.43,96.66,82.99,97.18,52.31,57.85,41.59,158.76,0.1,53.43,78.24,38.81,24.68,6.05,14.6,24.99,35.28,20.93,2.51,4.89,0.23,1.56,1.44,2.69
2023/3/24,103.52,75.54,109.21,87.75,103.55,56.89,62.63,46.36,171.02,0.11,57.61,85.76,41.79,27.31,6.3,15.74,27.08,38.76,22.37,3.15,5.11,0.25,1.73,1.84,3.23
2023/3/25,71.45,45.97,86.1,56.07,65.95,40.52,56.05,26.7,103.94,0.15,31.98,53.96,24.46,20.49,4.42,9.13,16.5,25.15,13.65,1.95,3.23,0.17,3.74,1.22,2.37
2023/3/26,66,43.32,83.53,51.92,61.03,38.89,49.96,27.07,96.3,0.17,29.94,51.69,23.86,20.87,4.1,8.59,16.08,23.12,13.14,2.21,2.96,0.19,4.32,1.48,2.87
2023/3/27,97.53,71.05,100.01,83.94,98.83,53.66,57.23,43.46,160.52,0.3,54.54,80.07,40.46,27.1,6.19,14.92,25.86,35.79,21.38,2.68,4.98,0.24,1.91,1.48,2.72
2023/3/28,100.48,70.6,98.76,84.31,99.8,53.31,59.3,42.41,159.87,0.36,53.86,79.37,39.9,26.75,6.18,14.75,25.52,36.01,21.09,2.56,4.96,0.24,1.91,1.41,2.49
2023/3/29,100.82,70.65,100.03,84.1,100.08,53.34,59.99,42.4,160.08,0.21,53.91,79.71,39.6,27.25,6.11,14.78,25.5,36.47,21.15,2.58,4.96,0.24,2.03,1.52,2.71
2023/3/30,100.45,70.67,100.14,84.05,99.35,53.6,59.51,42.8,160.1,0.1,54.07,79.47,39.27,27.05,6.13,14.79,25.48,36.28,21.04,2.6,4.91,0.23,1.99,1.51,2.7
2023/3/31,108.07,77.96,113.85,89.17,106.06,59.42,65.32,48.16,175.36,0.11,58.71,88,42.05,29.02,6.43,16.21,27.4,39.68,22.69,3.19,5.14,0.28,2.01,2.08,3.68
2023/4/1,78.37,50.11,96.75,58.25,70.43,43.83,62.65,30.2,110.46,0.14,33.69,56.64,25.02,24.68,4.52,9.68,17.32,26.07,13.99,2.1,3.33,0.18,5.7,1.37,2.66
2023/4/2,63.52,42.35,81.47,49.01,57.45,37.92,47.36,26.89,92.46,0.12,28.85,49.37,21.64,19.15,3.98,8.19,15.73,21.55,12.35,2.14,2.74,0.17,3.59,1.35,2.69
2023/4/3,96.3,70.38,97.94,81.94,96.64,52.26,55.96,42.36,157.67,0.1,53.24,77.89,38.47,25.66,6.06,14.64,25.4,35.23,20.92,2.66,4.88,0.22,1.59,1.17,2.34
2023/4/4,99.33,72.71,98,84.12,98.26,52.79,57.49,42.75,160.23,0.11,53.84,80.57,39.22,25.51,5.96,14.76,25.04,35.97,20.72,2.72,4.88,0.23,1.32,1.36,2.51
2023/4/5,61.46,38.41,74.27,45.41,54.88,34,48.18,22.72,85.3,0.17,25.71,45.9,20.12,16.64,3.57,7.75,14.4,20.78,11.17,1.76,2.7,0.17,4.57,1.25,2.72
2023/4/6,101.46,71.84,99.89,84.44,99.51,53.69,60.75,42.95,161.04,0.17,53.47,80.01,39.43,25.67,6.14,15.15,25.8,35.89,21.19,2.68,4.94,0.23,1.72,1.37,2.7
2023/4/7,108.53,78.99,112.87,89.65,107.49,58.74,67.27,47.51,174.95,0.72,58.2,87.64,42.49,27.89,6.44,16.11,27.52,38.91,22.5,3.25,5.17,0.24,2.3,1.65,3.08
2023/4/8,76.78,49.47,94.09,58.27,70.22,42.65,63.43,28.13,109.44,0.68,33.09,56.76,25.32,20.82,4.49,9.61,16.79,24.72,13.9,2.05,3.19,0.18,6.07,1.32,2.49
2023/4/9,66.77,43.23,84.78,51.47,61.21,39.46,51,27.3,96.43,0.31,30.17,53.3,23.64,18.2,4.02,9.08,15.52,22.2,12.81,2.16,2.78,0.17,4.58,1.65,3.68
2023/4/10,98.8,72.95,102.23,84.52,99.21,54.12,58.35,44.47,162.69,0.11,54.88,81.95,42.72,26.03,6.28,15.46,25.98,35.97,21.45,2.74,4.94,0.23,1.87,1.63,3.29
2023/4/11,99.06,70.85,97.18,84.42,97.77,52.89,60.17,42.28,158.78,0.12,53.12,80.37,43.84,24.88,6.11,14.87,25.09,35.45,20.88,2.55,4.88,0.24,1.45,1.47,2.8
2023/4/12,103.29,72.95,102.05,86.97,101.71,54.13,62.63,43.04,164.2,0.14,54.91,82.83,44.65,25.88,6.23,15.42,25.81,36.7,21.38,2.62,4.95,0.25,2.16,1.55,3.05
2023/4/13,102.81,72.92,101.52,85.93,100.82,53.77,62.44,42.72,162.33,0.32,53.81,81.88,43.18,25.38,6.19,15.4,25.57,36.24,21.21,2.6,4.91,0.23,1.83,1.64,3.11
2023/4/14,109.08,79.41,114.27,90.59,107.05,58.8,67.18,47.89,176.01,0.32,59.38,89.47,44.88,27.57,6.49,16.6,27.61,39.27,22.6,3.3,5.11,0.25,1.94,2.1,3.97
2023/4/15,79.95,52.26,95.56,59.53,71.56,43.02,64.09,28.67,111.27,0.31,33.61,60.27,26.79,19,4.71,9.92,17.15,25.07,14.43,2.18,3.19,0.19,5.47,1.43,2.78
2023/4/16,69.67,46.38,88.03,53.81,64.01,40.08,55.38,28.15,100.19,0.18,30.87,56.55,24.13,17.44,4.32,9.29,16.29,22.84,13.37,2.31,2.83,0.2,5.17,1.64,3.44
2023/4/17,98.61,72.26,102.02,84.41,99.67,53.85,59.22,44.06,162.41,0.17,54.52,81.56,39.78,25.76,6.33,15.49,26.29,36.25,21.67,2.77,4.95,0.24,2.13,1.59,3.24
2023/4/18,103.96,72.78,102.02,86.41,102.75,54.32,63.29,43.12,163.72,0.3,54.31,81.59,40.23,25.72,6.31,15.44,26.06,36.61,21.54,2.69,5.01,0.23,2.55,1.45,2.85
2023/4/19,102.83,72.35,102.3,85.86,102.09,53.86,62.75,42.76,163.34,0.74,54.41,81.33,40.04,25.7,6.25,15.39,25.81,36.65,21.45,2.66,4.94,0.24,2.46,1.55,3.01
2023/4/20,102.54,73.04,100.24,85.27,100.31,53.28,61,42.56,162,0.62,53.92,80.38,39.65,25.25,6.13,15.3,25.41,36.56,21.06,2.59,4.89,0.23,1.8,1.59,3.11
2023/4/21,105.74,76.94,110.18,89.8,106.32,56.98,65.76,45.59,173.68,0.38,57.94,87.38,43.22,27.25,6.42,16.37,26.96,39.49,22.1,3.1,5.13,0.24,2.02,1.81,3.43
2023/4/22,66.06,42.89,78.94,52.25,62.31,38.02,49.85,24.5,98.59,0.16,29.52,54.16,24.99,15.71,4.31,9.11,15.54,22.19,13.1,1.89,2.87,0.18,2.83,1.41,2.71
2023/4/23,95.44,67.75,98.83,79.54,94.54,51.11,60.43,41.48,153.52,0.21,52.56,77.78,40.08,24.51,5.98,14.64,25.07,36.42,20.14,2.8,4.72,0.21,2.3,1.62,3.22
2023/4/24,97.91,72.19,99.77,83.7,99.39,52.72,58.77,42.3,161.52,0.51,53.97,80.02,39.77,25.07,6.26,15.51,25.69,35.99,21.04,2.64,4.88,0.23,1.75,1.57,3
2023/4/25,103.15,73.74,102.37,85.63,102.43,54.61,62.21,43.36,163.93,0.51,54.43,81.41,39.91,25.7,6.27,15.65,26.05,36.76,21.38,2.67,4.98,0.24,2.09,1.62,3.14
2023/4/26,104.15,75.61,105.71,86.35,102.61,55.52,62.9,44.69,166.35,0.37,55.57,83.03,40.31,26.29,6.32,15.95,26.34,37.29,21.64,2.69,4.97,0.23,2.21,1.87,3.67
2023/4/27,103.01,77.3,108.25,85.84,101.32,55.92,61.9,46.63,165.42,0.19,55.87,83.21,39.88,26,6.22,16.34,26.28,36.97,21.33,2.68,4.9,0.24,2.03,2.16,4.35
2023/4/28,109.95,87.04,123.83,90.95,107.14,62.78,67.66,53.11,177.92,0.16,60.16,91.92,42.41,28.82,6.58,17.75,28.18,40.37,22.62,3.62,4.99,0.26,2.24,2.98,5.4
2023/4/29,78.35,56.76,105.1,61.8,73.65,49.42,71.64,34.63,115.29,0.38,34.52,59.65,26.09,18.18,4.58,11.52,18.05,25.53,13.87,2.47,3.02,0.18,4.66,2.82,4.89
2023/4/30,77.16,54.36,104.61,58.33,73.04,48.33,81.52,30.94,108.08,0.44,29.99,55.83,25.36,17.13,4.36,10.29,17.52,22.7,13.64,2.4,2.91,0.17,5.98,1.81,3.53
2023/5/1,73.11,50,99.5,54.32,69.84,43.78,71.72,27.81,98.89,0.39,27.03,52.86,23.82,15.39,3.98,9.33,16.55,20.86,13.26,2.27,2.76,0.16,5.47,1.43,2.76
2023/5/2,66.45,47.56,93.78,51.79,62.55,43.23,58.98,28.03,94.07,0.25,27.01,51.02,21.92,15.15,3.73,8.64,15.65,20.1,12.12,2.21,2.63,0.14,4.28,1.63,3.39
2023/5/3,55.63,44.32,82.74,48.11,55.35,39.89,44.77,30.05,91.15,0.17,29.17,50.02,21.41,15.15,3.8,8.44,16.05,21.47,12.73,2.56,2.7,0.15,2.66,2.27,4.62
2023/5/4,91.97,70.31,98.39,78.3,92.68,52.28,54.03,44.63,152,0.11,51.39,77.42,36.4,24.87,5.92,14.87,24.75,34.45,20,2.79,4.59,0.22,1.41,1.74,3.87
2023/5/5,94.77,69.04,96.9,80.1,95.34,51.74,56.23,42.9,155.17,0.16,52.34,77.38,38.13,24.66,6.03,14.83,25.2,35.35,20.55,2.67,4.81,0.23,1.55,1.43,3.12
2023/5/6,94.11,67.23,97.73,79.07,95.16,51.45,58.11,41.69,153.79,0.43,52.44,76.99,38.17,24.79,6.04,14.47,25.32,36.17,20.51,2.95,4.83,0.23,2.01,1.41,2.8
2023/5/7,58.65,38.41,71.98,46.67,55.54,34.91,41.47,24.14,87.44,0.43,27.32,47.83,20.91,14.51,4.04,8.11,13.1,20.45,12.13,1.8,2.69,0.17,2.84,1.46,3.15
