seed,data,model,pred_len,train_time,mse,mae,mape,total inference time,avg inference time,avg_sample_time
5678,electricity,TimeXer,96,82.5217,0.2604,0.3711,1.8463,0.4662,0.0029,0.0001
5678,electricity,TimeMixer,6,102.5281,0.2152,0.3448,1.9131,0.5919,0.0036,0.0001
5678,electricity,TimeMixer,24,102.8492,0.2521,0.3749,1.9905,0.594,0.0036,0.0001
5678,electricity,TimeMixer,48,106.737,0.2666,0.3813,1.8342,0.6008,0.0037,0.0001
5678,electricity,TimeMixer,96,112.4439,0.3057,0.4088,2.1009,0.6278,0.0039,0.0001
5678,electricity,SCINet,6,898.1546,0.1049,0.2243,1.1136,4.9509,0.03,0.0009
5678,electricity,SCINet,24,906.7923,0.1688,0.2888,1.4274,5.0313,0.0307,0.001
5678,electricity,SCINet,48,893.8701,0.2052,0.3195,1.512,5.059,0.031,0.001
5678,electricity,SCINet,96,897.6329,0.2408,0.3436,1.6593,5.0058,0.0309,0.001
5678,electricity,SegRNN,6,72.3881,0.102,0.2212,1.2146,0.2687,0.0016,0.0001
5678,electricity,SegRNN,24,77.5031,0.1849,0.3125,1.7461,0.2789,0.0017,0.0001
5678,electricity,SegRNN,48,84.1595,1.4736,0.9388,5.3566,0.309,0.0019,0.0001
5678,electricity,SegRNN,96,66.998,1.6368,0.9972,5.4679,0.4096,0.0025,0.0001
9012,electricity,TimeXer,6,112.5432,0.1048,0.2321,1.3677,0.4619,0.0028,0.0001
9012,electricity,TimeXer,24,108.6449,0.1583,0.2897,1.572,0.4898,0.003,0.0001
9012,electricity,TimeXer,48,113.5249,0.2055,0.3288,1.6352,0.4826,0.003,0.0001
9012,electricity,TimeXer,96,118.5735,0.2555,0.3643,1.7106,0.4822,0.003,0.0001
9012,electricity,TimeMixer,6,98.543,0.2187,0.349,2.0364,0.577,0.0035,0.0001
9012,electricity,TimeMixer,24,99.7922,0.2271,0.3557,1.8266,0.6004,0.0037,0.0001
9012,electricity,TimeMixer,48,104.1227,0.2742,0.3883,1.7998,0.5913,0.0036,0.0001
9012,electricity,TimeMixer,96,109.1858,0.3192,0.4162,2.0345,0.6004,0.0037,0.0001
9012,electricity,SCINet,6,912.6564,0.1049,0.223,1.1208,5.1197,0.031,0.001
9012,electricity,SCINet,24,916.8533,0.1692,0.2891,1.4267,5.0695,0.0309,0.001
9012,electricity,SCINet,48,914.887,0.2061,0.3211,1.5255,5.1918,0.0319,0.001
9012,electricity,SCINet,96,922.0037,0.2413,0.3435,1.6702,5.0761,0.0313,0.001
9012,electricity,SegRNN,6,81.0387,0.1051,0.2295,1.2273,0.2971,0.0018,0.0001
9012,electricity,SegRNN,24,77.6033,0.1861,0.312,1.7758,0.2608,0.0016,0
9012,electricity,SegRNN,48,66.8552,1.4719,0.9378,5.3599,0.3016,0.0019,0.0001
9012,electricity,SegRNN,96,94.4675,1.6331,0.9953,5.4571,0.4025,0.0025,0.0001
3456,electricity,TimeXer,6,114.05,0.1032,0.2278,1.2722,0.4589,0.0028,0.0001
3456,electricity,TimeXer,24,111.8466,0.1644,0.2948,1.5274,0.475,0.0029,0.0001
3456,electricity,TimeXer,48,101.951,0.216,0.3391,1.6385,0.4972,0.0031,0.0001
3456,electricity,TimeXer,96,111.8681,0.2464,0.3559,1.6428,0.4575,0.0028,0.0001
3456,electricity,TimeMixer,6,80.8398,0.1936,0.3302,2.0095,0.5592,0.0034,0.0001
3456,electricity,TimeMixer,24,100.9513,0.2062,0.3336,1.6822,0.5711,0.0035,0.0001
3456,electricity,TimeMixer,48,104.9211,0.2712,0.384,1.8792,0.5987,0.0037,0.0001
3456,electricity,TimeMixer,96,111.6297,0.3228,0.4176,2.1007,0.6385,0.0039,0.0001
3456,electricity,SCINet,6,905.9351,0.1051,0.2238,1.1226,4.987,0.0302,0.0009
3456,electricity,SCINet,24,886.4961,0.1688,0.2886,1.4201,4.9743,0.0303,0.0009
